"Abrotanella_forsteroides" "Abrotanella_scapigera" "Acaena_montana" "Acaena_novae.zelandiae" "Acianthus_viridus" "Actinotus_suffocata" "Agrostis_parviflora" "Archeria_comberi" "Archeria_serpyllifolia" "Aristotelia_peduncularis" "Asplenium_flabellifolium" "Astelia_alpina" "Atherosperma_moschatum" "Athrotaxis_cupressoides" "Athrotaxis_selaginoides" "Baeckea_gunniana" "Banksia_marginata" "Bauera_rubioides" "Bellendena_montana" "Billardiera_longiflora" "Blandfordia_punicea" "Blechnum_penna.marina" "Blechnum_wattsii" "Boronia_citriodora" "Brachycome_tenuiscapa" "Caladenia_catenata_var._minor" "Campynema_lineare" "Cardamine_heterophylla" "Carex_appressa" "Carex_breviculmis" "Carpha_alpina" "Carpha_sp._nov." "Celmisia_longifolia" "Celmisia_saxifraga" "Cenarrhenes_nitida" "Centrolepis_monogyna" "Centrolepis_sp._nov." "Cheesemannia_radicata" "Coprosma_nitida" "Cotula_alpina" "Cotula_filicula" "Craspedia_alpina" "Cyathodes_dealbata" "Cyathodes_glauca" "Cyathodes_parvifolia" "Cyathodes_petiolaris" "Cyathodes_straminea" "Danthonia_fortuna.hibernae" "Danthonia_nivicola" "Danthonia_pauciflora" "Deyeuxia_carinata" "Deyeuxia_monticola" "Deyeuxia_sp._nov." "Diplarrena_latifolia" "Diplaspis_cordifolia" "Diselma_archeri" "Donatia_novae.zelandiae" "Dracophyllum_milliganii" "Dracophyllum_minimum" "Drimys_lanceolata" "Drosera_arcturi" "Drosera_binata" "Drosera_pygmaea" "Empodisma_minus" "Epacris_gunnii" "Epacris_impressa" "Epacris_lanuginosa" "Epacris_serpyllifolia" "Epilobium_gunnianum" "Epilobium_sarmentaceum" "Erigeron_pappochroma" "Erigeron_stellatus" "Eucalyptus_coccifera" "Eucalyptus_delegatensis" "Eucalyptus_gunnii" "Eucalyptus_subcrenulata" "Eucalyptus_urnigera" "Eucryphia_milliganii" "Euphrasia_gibbsiae" "Euphrasia_striata" "Ewartia_meridithae" "Ewartia_planchonii" "Exocarpos_humifusus" "Forstera_bellidifolia" "Gahnia_grandis" "Gaimardia_fitzgeraldi" "Gaimardia_setacea" "Galium_australe" "Gaultheria_depressa" "Gaultheria_hispida" "Gentianella_diemensis" "Geranium_potentilloides" "Gleichenia_alpina" "Gnaphalium_collinum_var._monocephalum" "Gnaphalium_umbricolum" "Gonocarpus_serpyllifolius" "Grammitis_armstrongii" "Grammitis_billardieri" "Gymnoshoenus_sphaerocephalus" "Hakea_epiglottis" "Hakea_lissosperma" "Helichrysum_antennarium" "Helichrysum_backhousii" "Helichrysum_backhousii_var._oreophilum" "Helichrysum_hookeri" "Helichrysum_ledifolium" "Helichrysum_pumilum" "Helichrysum_scorpioides" "Hierochloe_redolens" "Histiopteris_incisa" "Hydrocotyle_sibthorpioides" "Hypericum_japonicum" "Juncus_sandwithii" "Lagenophora_stipitata" "Leontodon_leysseri" "Lepidosperma_filiforme" "Lepidosperma_lineare_var._inops" "Leptospermum_lanigerum" "Leptospermum_nitidum" "Leptospermum_rupestre" "Lepyrodia_tasmanica" "Lissanthe_montana" "Lomatia_polymorpha" "Luzula_campestris" "Luzula_novae.cambriae" "Luzula_australasica_ssp._australasica" "Lycopodium_australianum" "Lycopodium_fastigiatum" "Lycopodium_scariosum" "Melaleuca_squamea" "Microcachrys_tetragona" "Microstrobos_niphophilus" "Milligania_densiflora" "Milligania_johnstonii" "Milligania_lindoniana" "Mitrasacme_archeri" "Mitrasacme_montana" "Monotoca_empetrifolia" "Monotoca_submutica_var._autumnalis" "Myriophyllum_pedunculatum" "Nothofagus_cunninghamii" "Nothofagus_gunnii" "Olearia_algida" "Olearia_erubescens" "Olearia_ledifolia" "Olearia_obcordata" "Olearia_persoonioides" "Olearia_phlogopappa" "Olearia_pinifolia" "Oreobolus_acutifolius" "Oreobolus_distichus" "Oreobolus_oxycarpus" "Oreobolus_pumilio" "Oreomyrrhis_eriopoda" "Orites_acicularis" "Orites_diversifolia" "Orites_revoluta" "Ourisia_integrifolia" "Oxalis_lactea" "Pentachondra_pumila" "Persoonia_gunnii" "Phyllocladus_aspleniifolius" "Pimelea_drupacea" "Pimelea_sericea" "Pittosporum_bicolor" "Plantago_gunnii" "Plantago_tasmanica" "Poa_gunnii" "Poa_saxicola" "Podocarpus_lawrencii" "Polystichum_proliferum" "Poranthera_microphylla" "Prasophyllum_alpinum" "Prionotes_cerinthoides" "Pterostylis_alpina" "Pterygopappus_lawrencii" "Ranunculus_collinus" "Restio_australis" "Restio_complanatus" "Richea_gunnii" "Richea_pandanifolia" "Richea_pandanifolia_x_scoparia" "Richea_procera" "Richea_scoparia" "Richea_sprengelioides" "Rubus_gunnianus" "Scaevola_hookeri" "Schizea_fistulosa" "Scirpus_aucklandicus" "Scirpus_crassiusculus" "Scirpus_montivagus" "Scirpus_subtillisimus" "Senecio_gunnii" "Senecio_leptocarpus" "Senecio_pectinatus_var._pectinatus" "Senecio_pectinatus_var._ochroleuca" "Sprengelia_incarnata" "Sphagnum_cristatum" "Stylidium_graminifolium" "Telopea_truncata" "Tetracarpaea_tasmanica" "Tetrarrhena_oreophila_var._oreophila" "Tetratheca_procumbens" "Trochocarpa_cunninghamii" "Trochocarpa_thymifolia" "Uncinia_compacta" "Uncinia_tenella" "Viola_hederacea" "Viola_sieberiana"
"E03" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 50 0 0 0 0 0 0.05 0 0 0 0 0 0 0 0 0.05 0 0 0 0 0 0 0 0 0 0 0 0.55 0 5.5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5.5 0 0 0 5.5 0 0 0 0 5.5 0 0 5.5 0 0 0 0 0 0 5.5 0 0.05 0 0 0 0 0 0 0 0 0 0 0.05 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.05 0 50 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5.5 0 0 0 0 0 0.05 0 0 0 0 0 0 0 0 0 0 0 0 5.5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5.5 0.05 0 0 0 0 0 0 0 0 0 0 0 0 0 0.05 0 0 0 0 5.5 0.55 0 0 0
"E04" 0 0 0 0 0 0 0 0 0 0 0 0.05 0 0 0 0 0 50 0 0 0 0 0 0.55 0 0 0 0 0 0 0 0 0.05 0 0 0 0 0 0.05 0 0 0 0 5.5 5.5 0 5.5 0 0 0 0 0 0 0 0 0 0 0 0 0.55 0 0 0 5.5 0 0 0 0.05 0 0 0 0 20 0 0 0 50 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.05 0 0 0 0.05 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.55 0 0 0 50 0 0 0 0 0 0 0 0 0 0 0.05 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.05 0 0 0 0 0.05 0 0 0 0 0 0 0 0 0 0 0 0 0 0.05 0 0 0 0.05 0.05 0 0 0 0 0 0 0 0 0 0 0 0 0.55 0 0.05 0 5.5 0.55 0 0 0 0 0 0 0 0 0 0 0 0 0 0.05 0 0 0 0 0.55 0.05 0 0 0
"E05" 0 0 0 0 0 0 0 0 0 0 0 5.5 0 0 0 0.05 0 20 0 0 0 0 0 5.5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.55 0 0 0 0 0 5.5 0 0 0 0 0 0 0.05 0 0 0 0 0 0 0 0.55 0 0 0 5.5 0 0 0 5.5 0 0 0 0 0.55 0 0 0 50 0 0 0 0 0 0 0 5.5 0 0 0 0 0 0 0.05 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.05 0 0 0 0 0.05 0 0 0 50 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.05 0.05 0 0 0 0 0 0 0 0.55 0 0 0 0 0 0.05 0 0 0 0 0.05 0 0 0 0 0 0 0 0 0 0 0 5.5 0.55 0 0 5.5 0.05 0.05 0 0 0 0 0 0 0 0 0 0 0 0 0 5.5 0 0 0 0 0 0.05 0 0 0
"E06" 0 0 0 0 0 0 0 0 0 0 0 0.05 0 0 0 0 0 20 0 0 0 0 0 5.5 0 0 0 0 0 0 0 0 0.55 0 0 0 0 0 0.55 0 0 0 0 0 5.5 0 0.55 0 0 0 0 0.05 0 0 0 0 0 0 0 5.5 0 0 0 5.5 0 0 0 5.5 0 0 0 0 0 0 5.5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.55 0 0.05 0 0 0 0.55 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.05 0 0 0 0.55 0 20 0 0 5.5 0 0 0 0.05 0 0 0 0 0 0 0 0 0 0 5.5 0 0 0 0 0 0.55 0 0 0 0.05 0 0 0 0 0 0 5.5 0 5.5 0 0 0 0 0 0 0.05 0 0 0 0.55 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5.5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.55 0 0.55 0 0 0
"E07" 0 0 0 0 0 0 0 0 0 0 0 20 0 0 0 5.5 0 0.55 0 0 0 0 0 5.5 0 0 0 0 0.05 0 0.55 0 0.05 0 0 0.55 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.55 0 0 0 0 0 0 0 0 0 20 0 0 0 5.5 0 0 0.05 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 85 0 0 0 0 0 0 0 0 0 0 0 0.55 0 0 0 0 0 0 0 0 0 0 0.05 0 5.5 0 5.5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.05 0 0 0 0 0 0.55 0.05 0 0.55 0 0 0 0 0 0 0 0 0 0 0 0 0.05 0 0 0 0 0 0 0 0 0 5.5 0 0.55 0 0 0 0.55 0 0 0 0 0.55 0 0 0 0 0 0 0 0.05 0 0 0 0 0 0 0 0 0 0 0 0
"E08" 0 0 0 0 0 0 0 0 0 0 0 5.5 0 0 0 0.55 0 20 0 0 0 0 0 5.5 0 0 0 0 0 0 0.05 0 0.05 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.55 0 0 0 0 0 0.55 0 0 0 5.5 0 0 0 20 0 0 0 0 20 0 0 0 0 0 0 0 0 0 0.55 0 0 0 0 0 0 0 0 0 5.5 0 0 0.55 0 0 0 0 0 0 0.05 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5.5 0 20 0 0 0 0 0 0 0 0 0 0 0 5.5 0 0 0 0 0 0 0 0 0.05 0 0 0 0 0 0 0 0 0 0 0 0 0 20 0 5.5 0 0 0 0 0 0.05 0 0 0 0 0.55 0 0 0 0 0 0 0 0 0 0 0 0 0.55 0 0 0 0 0.05 0 0 0.55 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.55 0 0 0
"E09" 0 0 0 0 0 0 0 0 0 0 0 0.55 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.55 0 0 0 0 0 0 0 0 0 0 5.5 0 0 0 0 0 5.5 0 20 0 0 0 0 0.05 0 0 0 0 0 0 0 20 0 0 0 0 0 0 0 0 0 0 0 0 5.5 0 0 0 0 0 0 0 0 0 0.55 0 0 0 0 0 0 0 0 0.05 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.05 0 0 0 0 0.05 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 50 0 0 0 0 0 0 0 5.5 0 0 0 0 0 0 0 0 0 0.55 0 0 0 0 0 0 0 0.05 0 0 0 0 0 0 0 0 0 0 0 0 0 5.5 0 0 0 0 0.05 0 0 0 0 0 0 0 0.55 0 0 0 0 0 0.05 0 0 0 20 0.55 0.05 0 0 0
"E10" 0 0 0 0 0 0 0 0 0 0 0 0.05 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.05 0 0 0 0 0 0 0 0 0 0 5.5 0 0 0 0 0 5.5 0 20 0.55 0 0 0 0.55 0 0 0 0 0 0 0 5.5 0 0 0 0 0 0 0 0 0 0.05 0 0 5.5 0 0 0 0 0 0 0 0 0 5.5 0 0 0 0 0 0 0.55 0 0.05 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.55 0 0 0 0 0.05 0 0 0 5.5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5.5 0 0 0 0 0 0 0 0 0 0.05 0 0 0 0 0 0 0 0.05 0 0 0 0.55 0 0 0 0 0 0 0 0 0 5.5 0 0 0 0 0.05 0 0 0 0 0 0 0 0.05 0 0 0 0 0 0.55 0 0 0 0.55 5.5 0.55 0 0 0
"E11" 0 0 0 0 0 0 0.55 0 0 0 0 0.05 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.05 0 0 0 0 0 0 0 0 0 0 5.5 0 0 0 0 0 0.05 0 5.5 0 0 0 0 0.55 0 0 0 0 0 0 0 5.5 0 0 0 0 0 0 0 0 0 0 0 0 50 0 0 0 0 0 0 0 0 0 0.55 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.55 0 0 0 0 0 0.55 0 0 0 0 0.05 0 0 0 0.55 0 0 0 0 0 0 0 0.05 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5.5 0 0 0 0.05 0 0 0 5.5 0 0 0 0 0 0 0 5.5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5.5 0.05 0 0 0 0 0 0 0 0.55 0 0 0 0 0 0 0 0 0 0.55 5.5 0.05 0 0 0
"E12" 0 0 0 0 0 0 0 0 0 0 0 5.5 0 0 5.5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.55 0 0 0 0 0 0.55 0 5.5 0 0 0 0 0.05 0 0 0 0 0 0 0 5.5 0 0 0 0 0 0 0 0 0 0 0 0 50 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5.5 0 0 0 0 0 0.55 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5.5 0 0 0 0.55 0 0 0 0.55 0 0 0 0 0 0.55 0 5.5 0 0.05 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5.5 20 0.55 0 0 0 0 0 0 0 0.55 0 0 0 0 0 0 0 0 0 5.5 0 0.05 0 0 0
"E13" 0 0 0 0 0 0 0 0 0 0 0 0.55 0 0 0 0 0 5.5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.55 0 0 0 0 0 5.5 0 0 0 0 0 0 0.05 0 0.55 0 0 0 0 0 0.55 0 0 0 0 0 0 0 20 0 0 0 0 5.5 0 0 0 0 0 0 0 0 0.05 5.5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 20 0 0 0 0 0 0 0 0.05 0 0.05 0.05 0 0 0 0 0 0 0 0 5.5 0 0 0 0 0 0 0.55 0 0 0 0 0.55 0 0 0 0 0 0 5.5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5.5 0.05 0 0 0 0 0 0 0 0 0 0 0 0 0 5.5 0 0 0 0 0.55 0.55 0 0 0
"E14" 0 0 0 0 0 0 0 0 0 0 0 5.5 0 0 0 0 0 50 0 0 0 0 0 0 0 0 0 0 0 0 0.05 0 0.05 0 0 0 0 0 0.55 0 0 0 0 0 5.5 0 0 0 0 0 0 0 0 0.05 0 0 0 0 0 0.55 0 0 0 5.5 0 0 0 20 0 0 0 0 5.5 0 0 0 0 0 0 0 0 0 0.55 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5.5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 50 0 0 0 0 5.5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5.5 0 0 0 0 0 5.5 5.5 0 0 0 0 0 0 0 0 0 0 0.05 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5.5 5.5 0.05 0 0 0 0 0 0 0 0 0 0 0 0 0 5.5 0 0 0 0 0.55 0.55 0 0 0
"E15" 0 0 0 0 0 0 0 0 0 0 0 5.5 0 0 0 0 0 50 0 0 0 0 0 0.05 0 0 0 0 0 0 0.05 0 0.05 0 0 0 0 0 0.55 0 0 0 0 0 0 0 0.05 0 0 0 0 0 0 0.05 0 0 0 0 0 0.05 0 0 0 20 0 0 0 20 0 0 0 0 5.5 0 0 0 5.5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.05 0 0 0 0.55 0.55 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 50 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.05 0 0 0 0 0 0 0 0.55 0.05 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.05 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5.5 5.5 0.05 0 0 0 0 0 0 0 0 0.05 0 0 0 0 0.55 0 0 0 0 0 0.55 0 0 0
"E16" 0 0 0 0 0 0 0 0 0 0 0 5.5 0 0 0 0.05 0 50 0 0 0 0 0 0.55 0.05 0 0.05 0 0 0 0.55 0 0.05 0 0 0 0 0 0.05 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.05 0 0 0 0 0 0.05 0 0 0 20 0 0 0 20 0 0 0.05 0 5.5 0 0 0 5.5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.55 0 0 0.05 0 0 0 5.5 5.5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.05 0 50 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.55 0 0 0 0 0 0 0 0 0 0 0 0 0 0.05 0 0 0 0 5.5 0 0 0 0 0 0 0.05 0 0 0.05 5.5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.55 0.05 0 0 0.05 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.55 0 0 0
"E18" 0 0 0 0 0 0 0 0 0 0 0 0.05 0 0 0 0 0 50 0 0 0 0 0 0.05 0.05 0 0.05 0 0 0 5.5 0 0 0 0 0 0 0 0.55 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.05 0 0 0 0 0 0 0 0 0 20 0 0 0 20 0 0 0.05 0 0 0 0 0 5.5 0 0 0.05 0 0 0.05 0 5.5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 20 5.5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.05 0 50 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.05 0 0 5.5 0 0 0 0 0 0 0 0 0 0 0 0 0.05 0 0 0 0 0 0 0.05 0 0 0 0 0 0 0 0 0 0 0.05 0 0 0.05 0 0 0 0 0 0 0 0.05 0 0 0 0 0 0 0 0 0.05 0 0 0
"E19" 0 0 0 0 0 0 0 0 0 0 0 5.5 0 0 0 0.05 0 50 0.05 0 0 0 0 0.55 0.05 0 0 0 0 0 5.5 0 0.05 0 0 0.05 0 0 0.05 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.05 0 0 0 0 0 0 0 0 0.05 20 0 0 0 20 0 0 0 0 0 0 0 0 0 0 0 0.05 0 0 0 0 0.55 0 0 0 0 0 0 0 5.5 0 0 0 0 0 0 50 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.55 0 50 0 0 0 0 0 0 0 0 0 0.05 0 0 0 0 0 0 0 0 0 0.05 0 0 0 0 0 0 0 0 0 0 0 0 0 5.5 0 0 5.5 0 5.5 0 0 0 0 0 0 0 0 0 0.05 0.05 0 0 0 0 0 0 0.05 0 0 0 0 0 0 0 0 0 0.55 0.05 0 0 0 0 0 0 0 0 0.05 0 0 0 0 0 0 0 0 0 0 0.05 0 0 0
"E20" 0 0 0 0 0 0 0 0 0 0 0 0.05 0 0 0 0.05 0 5.5 0 0 0 0 0 5.5 0 0 0 0 0.55 0 5.5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.05 0 0 0 0 0 0 0.55 0 0 0.55 0 0 0 5.5 0 0 0.05 0 0 0 0 0 0 0 0 0.05 0 0 0 0 0 0 0 0 0 0 0 0 20 0 0 0 0 0 50 0.55 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 20 0 0.55 0 0 0 0 0 0 0 0 0 0 0 0 0 0.05 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5.5 0 0 5.5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5.5 5.5 0 0 0 0 0 0 0 0 0 0 0.55 0 0 0 0 0 0 5.5 0 0 0 0 0 0 0 0 0 0 0 0
"E21" 0 0 0 0 0 0 0 0 0 0 0 5.5 0 0 0 5.5 0 5.5 0 0 0 0 0 5.5 0 0 0 0 0 0 0.55 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.05 0 0 0 0 0 0 0 0 0 5.5 0 0 0 5.5 0 0 0.05 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5.5 0 0 0 0 0 20 0.55 0 0 0 0 5.5 0 0 0 0 0 0 0 0 0 0 0.55 0.05 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.05 0 0 0 0 0 0.55 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.55 0 0 0 0 0 0 0 0 0 0.55 5.5 5.5 0 0 0 0 0 0.05 0 0 0 0 0 0 0 0 0 0 0.05 0 0 0 0 0 0 0 0 0 0 0 0
"E22" 0 0 0 0 0 0 0 0 0 0 0 5.5 0 0 0 5.5 0 5.5 0 0 0 0 0 5.5 0 0 0 0 0 0 0.55 0 0.05 0 0 0.05 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.05 0 0 0 0 0 0 0 0 0 20 0 0 5.5 5.5 0 0 0.05 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 20 0 0 0 0 0 20 5.5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.55 0 5.5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.05 0 0 0 0 0.55 0 0 0 0 0 0 0 0 0 0 0.55 0 0 0 0 0 0 0 0 0 0.55 5.5 0 0 0 0 0 0 0.05 0 0 0 0 0 0 0 0 0.05 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"E23" 0 0 0 0 0 0 0 0 0 0 0 0.55 0 0 0 5.5 5.5 50 0 0 0 0 0 5.5 0 0 0 0 0 0 0 0 0.05 0 0 0 0 0 0 0 0 0 0 0 0.55 0 0 0 0 0 0 0 0 0.05 0 0 0 0 0 0 0 0 0 20 0 0 0 20 0 0 0 0 0.55 0 0 5.5 5.5 0 0 0.05 0 0 0 0 5.5 0 0 0 0 0 0 0 5.5 0 0 0 0 0 0 5.5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.55 0 20 0 0 0 0 0.05 0 0 0 0 0 0 5.5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5.5 0 0 0.05 0 0 0 0 0 0 0 0.55 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5.5 0.05 0.05 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"E24" 0 0 0 0 0 0 0 0 0 0 0 0.05 0 0 0 0 0 50 0 0 0 0 0 0.05 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5.5 0 0 0 0 0.55 5.5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.55 0 0 0 5.5 0 0 0 0.55 0 0 0 0 5.5 0 0 50 0 0 0 0 0 0 0.55 0 20 0 0 0 0 0.05 0 0 0 0 0 0.05 0 0 0 0 5.5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 50 0 0 0 0 0.55 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.55 0 0 0 0 0 0 0 0 0 0 0 0.55 5.5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5.5 5.5 0.05 0 0 0 0 0 0 0 0 0 0 0 0 0 5.5 0 0 0 0 0.05 0 0 0 0
"E25" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5.5 50 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5.5 0 0 0 0 5.5 50 0 0 0 0 0 0 0.05 0 0 0 0 0 0 0 0.55 0 0 0 0 0 0 0 0 0 0 0 0 5.5 0 0 50 0 0 0 0 0 0 0.55 0 5.5 0 0 0 0 0 0 0 0 0 0 0.05 0 0 0 0 5.5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 50 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.05 0 0 0 0 0 0 0 0 0 0 0 5.5 5.5 0 0 0 0 0 0 0 0.55 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5.5 5.5 0.05 0 0 0 0 0 0 0 0 0 0 0 0 0 5.5 5.5 0 0 0 5.5 0 0 0 0
"E26" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5.5 50 0 0 0 0 0 0.55 0 0 0 0 0 0 0 0 0.05 0 0 0 0 0 5.5 0 0 0 0 0 5.5 0 0 0 0 0 0 0 0 0.05 0 0 0 0 0 0 0 0 0 0 0 0 0 20 0 0 0 0 20 0 0 0 0 0 0 0 0 0 5.5 0 0 0 0 0 0 0 0 0 0 0 0 0.05 0 0 0 0 50 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.55 0 0 0 0 0 0 0.05 0 0 0 0 0 0 0 0 0 0 0 0 0 0 20 0.55 0 0 0 0 0.05 0 0 0 0 0 0 0 0 0 0 0 0 20 0 0 5.5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"E27" 0 0 0 0 0 0 0 0 0 0 0 20 0 0 0 5.5 0 5.5 0 0 0 0 0 0 0 0 0 0 0 0 0.05 0 0.05 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.05 0 0 0 0 0 0.55 0 0 0 0.55 0 0 0 20 0 0 0.55 0 5.5 0 0 0.55 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 20 0 0 0.05 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.05 5.5 0 0 0 0 0 0 0 0 0 0.05 0 0 0 20 0 0 0 0 0.05 0 0 0 0 0 0 0 0 0 0 0 0 0.55 0 0 0.55 0 0 0 5.5 0 0 0 0 0 0 0 0 0 0 5.5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5.5 0 0.05 0 0 0 0 0 0 0 0.05 0 0 0 0 0 0.05 0 0 0 0 0 0 0 0 0
